tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55062,execution,comp_a,2888.0,2448.0,3000,r260,2888.0,3483.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,5,31
55062,execution,comp_a,2408.0,2040.0,2500,60kg,2408.0,2904.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,5,31
55062,execution,comp_a,2311.0,1958.0,1200,52kg,2311.0,2786.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,5,31
55063,supply,comp_a,2009.0,1702.2,1200,60kg,2009.0,2400.14,2609.87,2217.28,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2023,6,16
55063,supply,comp_a,2118.0,1794.7,1350,r260,2118.0,2029.77,2207.143,1875.13,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2023,6,16
55064,execution,comp_e,3050.0,2584.6,415,60kg,5027.22,2350.058,3152.402,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,SE,KGP,2023,6,22
55064,supply,comp_e,2068.0,1752.6,1118,r260,2247.26,2349.97,2359.85,0.0,2068.0,0.0,0.0,0.0,0.0,0.0,SE,KGP,2023,6,22
55065,supply,comp_a,2481.0,2103.0,982,60kg,2481.0,2543.0,2659.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,ADI,2023,6,27
55065,supply,comp_a,2617.0,2218.0,1455,r260,2617.0,2682.5,2805.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,ADI,2023,6,27
55065,execution,comp_a,4372.0,3705.0,1368,60kg,4372.0,4480.71,4685.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,ADI,2023,6,27
55065,execution,comp_a,4523.0,3833.0,1301,r260,4523.0,4635.69,4847.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,ADI,2023,6,27
55065,execution,comp_a,4283.0,3629.0,5,52kg,4283.0,4389.32,4589.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,ADI,2023,6,27
55066,supply,comp_c,1626.0,1378.3,267,60kg,1701.07,1626.0,2037.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55066,supply,comp_c,1910.0,1618.8,3830,52kg,1997.91,1910.0,2392.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55066,supply,comp_c,1976.0,1674.3,180,r260,2066.41,1976.0,2474.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55067,supply,comp_c,1905.0,1614.2,525,52kg,1916.39,1905.0,2392.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55067,supply,comp_c,1970.0,1669.6,4083,r260,1982.09,1970.0,2474.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55068,supply,comp_c,1644.0,1393.0,100,60kg,1677.72,1644.0,2037.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55068,supply,comp_c,1930.0,1636.0,1050,52kg,1970.48,1930.0,2392.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55068,supply,comp_c,1996.0,1692.0,800,r260,2038.04,1996.0,2474.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2023,7,4
55069,supply,comp_c,2665.0,2259.0,533,60kg,4395.33,2665.0,2715.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2023,7,4
55069,supply,comp_c,2579.0,2186.0,333,52kg,4253.13,2579.0,2627.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2023,7,4
55069,supply,comp_c,2812.0,2383.0,1244,r260,4636.42,2812.0,2864.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2023,7,4
55069,execution,comp_c,4696.0,3980.0,527,60kg,7744.44,4696.0,4784.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2023,7,4
55069,execution,comp_c,4859.0,4118.0,1229,r260,8012.3,4859.0,4950.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2023,7,4
55070,execution,comp_c,2140.0,1814.0,5782,60kg,5186.3,2140.0,2341.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SE,KGP,2023,7,6
55071,execution,comp_c,1962.0,1663.0,1257,60kg,2066.06,1962.0,2230.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2023,7,7
55071,execution,comp_c,1904.0,1614.0,444,52kg,2037.83,1904.0,2230.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2023,7,7
55071,execution,comp_c,1962.0,1663.0,2451,r260,2000.33,1962.0,2230.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2023,7,7
55072,cutting,comp_d,406.0,344.0,1200,60kg,405.5,389.1,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,cutting,comp_d,599.0,508.0,500,60kg,599.0,575.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,supply,comp_d,2685.0,2275.0,200,60kg,2685.0,2576.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,supply,comp_d,4848.0,4109.0,200,r260,4848.0,4652.0,4848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,execution,comp_d,5502.0,4663.0,150,60kg,5502.0,5280.0,5502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,execution,comp_d,7906.0,6700.0,100,r260,7906.0,7586.0,7906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,execution,comp_d,4134.0,3504.0,100,60kg,4134.0,3967.0,4134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55072,execution,comp_d,6330.0,5365.0,500,r260,6330.0,6074.0,6330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2023,8,2
55073,execution,comp_a,5784.0,4901.5,870,52kg,5784.0,5801.46,5889.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,8,9
55073,execution,comp_a,5972.0,5061.2,300,60kg,5972.0,5990.0,6082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,8,9
55073,execution,comp_a,4026.0,3412.0,530,r260,4026.0,4039.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,8,9
55073,execution,comp_a,8434.0,7147.6,100,60/52cmb,8434.0,8460.0,8589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,8,9
55073,execution,comp_a,10335.0,8758.1,50,60/52cmb,10335.0,10366.0,10524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,MLDT,2023,8,9
55074,supply,comp_a,1875.0,1589.1,1944,60kg,1875.0,2089.55,2359.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,RNY,2023,8,4
55074,supply,comp_a,2581.0,2187.5,1794,r260,2581.0,2876.52,3247.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,RNY,2023,8,4
55074,supply,comp_a,1808.0,1532.2,1796,52kg,1808.0,2014.71,2274.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,RNY,2023,8,4
55075,execution,comp_c,2218.21,1880.0,1500,52kg,5166.34,2218.21,2777.5,0.0,0.0,3417.36,0.0,0.0,0.0,0.0,NFR,KIR,2023,8,9
55075,execution,comp_c,1895.0,1606.0,400,r260,4414.04,1895.0,2373.05,0.0,0.0,2919.74,0.0,0.0,0.0,0.0,NFR,KIR,2023,8,9
55076,supervision,comp_a,3728.0,3159.0,3000,r260,3728.0,4700.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,8,10
55076,supervision,comp_a,2232.0,1892.0,2500,60kg,2232.0,2900.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,8,10
55076,supervision,comp_a,2249.0,1906.0,1200,52kg,2249.0,2800.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,8,10
55077,execution,comp_a,6114.0,5181.0,2794,52kg,6114.0,13528.91,0.0,0.0,0.0,0.0,7492.94,0.0,0.0,0.0,NWR,BKN,2023,8,14
