tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55103,supply,comp_d,2833.0,2400.85,200,60kg,5645.0,3930.0,2833.0,5000.0,0.0,0.0,0.0,6389.0,0.0,0.0,NER,BSB,2023,12,20
55103,execution,comp_d,1800.0,1525.42,840,60kg,2800.0,2016.0,1800.0,1500.0,0.0,0.0,0.0,2800.0,0.0,0.0,NER,BSB,2023,12,20
55104,supply,comp_b,1898.0,1608.56,1849,60kg,2537.97,2088.0,0.0,1898.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2023,12,19
55104,supply,comp_b,1640.0,1389.75,690,52kg,2192.74,1804.0,0.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2023,12,19
55105,execution,comp_a,3825.0,3241.54,700,r260,3825.0,4165.9,4146.0,4037.0,0.0,0.0,0.0,0.0,8033.34,0.0,WCR,JBP,2023,12,22
55105,execution,comp_a,3955.0,3351.55,400,r260cmb,3955.0,4307.2,4286.0,4174.0,0.0,0.0,0.0,0.0,8305.98,0.0,WCR,JBP,2023,12,22
55105,execution,comp_a,3877.0,3285.98,450,60kg,3877.0,4223.0,4202.0,4092.0,0.0,0.0,0.0,0.0,8143.49,0.0,WCR,JBP,2023,12,22
55105,supply,comp_a,2787.0,2361.45,3000,r260,2787.0,3034.8,3020.0,2941.0,0.0,0.0,0.0,0.0,5852.26,0.0,WCR,JBP,2023,12,22
55105,supply,comp_a,2916.0,2471.47,450,r260cmb,2916.0,3176.2,3161.0,3078.0,0.0,0.0,0.0,0.0,6124.9,0.0,WCR,JBP,2023,12,22
55105,supply,comp_a,2392.0,2027.41,600,52kg,2392.0,2605.5,2593.0,2525.0,0.0,0.0,0.0,0.0,5024.42,0.0,WCR,JBP,2023,12,22
55106,supervision,comp_b,2500.0,2118.64,1500,r260,2272.76,2500.0,3601.69,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,R,2023,12,27
55106,supervision,comp_b,2525.0,2140.0,1500,60kg,2252.77,2525.2,3602.16,2525.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,R,2023,12,27
55107,supply,comp_b,1887.0,1598.77,504,52kg,1978.95,1900.0,2539.59,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,SEE,2023,12,28
55107,supply,comp_b,2054.0,1741.08,1822,r260,2155.09,2069.2,2765.64,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,SEE,2023,12,28
55108,execution,comp_b,7485.0,6343.08,814,r260,8370.81,7500.29,0.0,7485.0,0.0,0.0,0.0,0.0,0.0,0.0,NR,FZR,2023,12,28
55108,execution,comp_b,7133.0,6044.75,200,52kg,7977.1,7147.53,0.0,7133.0,0.0,0.0,0.0,0.0,0.0,0.0,NR,FZR,2023,12,28
55109,supply,comp_c,1949.0,1651.69,3257,r260,2241.67,1949.0,2014.0,2423.0,0.0,3533.07,0.0,0.0,0.0,0.0,ECOR,SBP,2023,12,29
55110,supply,comp_a,1994.0,1690.0,1060,r260cmb,1994.0,2004.82,2442.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CR,BSL,2024,1,1
55111,supply,comp_b,2029.0,1719.78,1000,60kg,2749.39,2227.955,0.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2024,1,4
55111,supply,comp_b,2029.0,1719.57,1500,52kg,2749.06,2227.687,0.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2024,1,4
55111,supply,comp_b,1734.0,1469.18,2220,r260,2348.76,1903.303,0.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,NFR,LMG,2024,1,4
55112,supply,comp_b,1939.0,1643.31,1683,r260,2182.43,2062.124,0.0,1939.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55112,execution,comp_b,1626.0,1377.66,1683,r260,1829.63,1728.772,0.0,1626.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55113,supply,comp_b,2026.0,1717.04,569,60kg,2223.82,2087.962,0.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55113,supply,comp_b,1981.0,1678.65,1776,r260,2174.09,2041.274,0.0,1981.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55113,execution,comp_b,1791.0,1517.71,190,60kg,1965.66,1845.572,0.0,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55113,execution,comp_b,1661.0,1407.29,1776,r260,1822.64,1711.292,0.0,1661.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55114,supply,comp_b,2047.0,1735.12,436,60kg,2226.8,2087.962,0.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55114,supply,comp_b,2002.0,1696.32,1329,r260,2177.01,2041.274,0.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55114,execution,comp_b,1810.0,1533.69,100,60kg,1968.3,1845.572,0.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55114,execution,comp_b,1678.0,1422.1,1329,r260,1825.09,1711.292,0.0,1678.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,MYS,2024,1,5
55115,supply,comp_b,1890.0,1601.97,1680,r260,2612.32,1850.2,2500.25,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2024,1,10
55115,execution,comp_b,2400.0,2033.97,1083,r260,4010.08,4950.13,5899.74,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2024,1,10
55116,execution,comp_b,4641.0,3933.25,700,60kg,4761.28,5861.79,5529.82,4641.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55116,execution,comp_b,4679.0,3965.07,3000,52kg,4799.8,5909.21,5574.56,4679.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55116,execution,comp_b,3488.0,2955.55,1000,60kg,3577.77,4404.72,4155.27,3488.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55116,execution,comp_b,3531.0,2992.03,200,52kg,3621.92,4459.08,4206.55,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55116,execution,comp_a,3212.0,2722.14,300,60kg,3212.0,4066.42,0.0,3246.3,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55116,execution,comp_a,4918.0,4167.94,1000,r260,4918.0,6226.2,0.0,4970.5,0.0,0.0,0.0,0.0,0.0,0.0,WCR,KOTA,2024,1,10
55117,execution,comp_b,3491.0,2958.69,320,60kg,3883.28,3739.97,3711.77,3491.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55117,execution,comp_b,3444.0,2918.5,200,r260,3830.53,3689.17,3661.35,3444.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55117,execution,comp_b,3561.0,3017.56,570,r260cmb,3960.55,3814.39,3785.63,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55117,supply,comp_b,2109.0,1787.22,480,60kg,2345.73,2259.16,2242.12,2109.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55117,supply,comp_b,2509.0,2126.13,300,r260,2790.55,2687.56,2667.3,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55117,supply,comp_b,2626.0,2225.18,780,r260cmb,2920.55,2812.76,2791.55,2626.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,BPL,2024,1,10
55118,supply,comp_b,1906.0,1615.14,2280,52kg,2493.59,1985.49,0.0,1906.0,0.0,3705.54,0.0,0.0,0.0,0.0,NFR,APDJ,2024,1,12
55118,supply,comp_b,1628.0,1379.95,1200,r260,2130.48,1696.37,0.0,1628.0,0.0,3165.96,0.0,0.0,0.0,0.0,NFR,APDJ,2024,1,12
55119,supply,comp_b,1934.0,1638.97,934,60kg,2360.95,2121.02,0.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2024,1,16
55119,supply,comp_b,1671.0,1416.03,1530,52kg,2039.8,1832.51,0.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2024,1,16
55119,supply,comp_b,1891.0,1602.81,122,60kg,2467.59,2121.02,0.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2024,1,16
55119,supply,comp_b,1634.0,1384.79,1200,52kg,2131.93,1832.51,0.0,1634.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2024,1,16
55119,supply,comp_b,1722.0,1458.94,160,r260cmb,2158.18,2481.28,0.0,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,SWR,UBL,2024,1,16
55120,supply,comp_b,1512.0,1281.29,96,60kg,2286.3,1625.08,1809.3,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55120,supply,comp_b,1776.0,1504.87,3799,52kg,2685.26,1908.66,2125.03,1776.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55120,supply,comp_b,1837.0,1556.47,1778,r260,2777.32,1974.1,2197.88,1837.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55120,supply,comp_b,1553.0,1316.14,403,60kg,2329.39,1625.08,1809.3,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55120,supply,comp_b,1824.0,1545.81,5091,52kg,2735.88,1908.66,2125.03,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55120,supply,comp_b,1887.0,1598.8,423,r260,2829.67,1974.1,2197.88,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,TPJ,2024,1,19
55121,supervision,comp_b,2031.0,1721.45,1196,r260,2382.64,2550.13,3601.69,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,R,2024,1,18
55121,supervision,comp_b,2154.0,1825.33,1375,60kg,2382.73,2550.01,3602.16,2154.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,R,2024,1,18
55122,execution,comp_b,4829.0,4092.47,77,60kg,6036.38,6338.2,0.0,4829.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2024,1,31
55122,execution,comp_b,5479.0,4643.14,160,r260,6848.63,7191.06,0.0,5479.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2024,1,31
55122,supply,comp_b,1733.0,1468.63,282,60kg,2842.09,2772.77,0.0,1733.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2024,1,31
55122,supply,comp_b,2035.0,1724.91,44,52kg,3338.04,3256.63,0.0,2035.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2024,1,31
55122,supply,comp_b,2105.0,1784.04,655,r260,3452.48,3368.27,0.0,2105.0,0.0,0.0,0.0,0.0,0.0,0.0,SR,MAS,2024,1,31
55124,execution,comp_l,4631.0,3924.37,822,52kg,6241.46,5949.33,0.0,4872.37,0.0,0.0,0.0,0.0,0.0,4631.0,NER,LKO,2024,2,1
55124,supervision,comp_l,3540.0,2999.72,400,52kg,4770.85,4548.01,0.0,3724.34,0.0,0.0,0.0,0.0,0.0,3540.0,NER,LKO,2024,2,1
55125,supply,comp_d,2030.0,1720.0,500,r260,2112.44,2041.4,2030.0,2100.4,0.0,0.0,0.0,0.0,0.0,0.0,WR,STORES,2024,2,5
55125,supply,comp_d,2030.0,1720.0,500,r260,2112.44,2041.4,2030.0,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,STORES,2024,2,5
55126,supply,comp_c,1770.0,1500.15,2000,60kg,1882.79,1770.0,0.0,1919.48,0.0,0.0,0.0,0.0,0.0,0.0,NER,LKO,2024,2,6
55126,supply,comp_c,1680.0,1423.85,1500,52kg,1987.06,1680.0,0.0,1876.55,0.0,0.0,0.0,0.0,0.0,0.0,NER,LKO,2024,2,6
55126,supply,comp_c,1770.0,1500.01,2698,r260,1976.64,1770.0,0.0,1834.85,0.0,0.0,0.0,0.0,0.0,0.0,NER,LKO,2024,2,6
55127,supply,comp_c,1786.0,1786.0,739,r260,2000.0,1786.0,1850.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,BRC,2024,2,12
55128,supply,comp_c,1816.0,1539.0,1500,52kg,2006.236,1816.0,2336.4,1982.4,0.0,0.0,0.0,0.0,0.0,0.0,WR,RTM,2024,2,19
55129,supply,comp_a,2029.0,1719.55,1108,60kg,2029.0,2131.73,2546.15072,2134.8736,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,20
55129,supply,comp_a,1963.0,1663.92,667,52kg,1963.0,2062.77,2463.77745,2065.806,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,20
55129,supply,comp_a,2140.0,1813.87,4364,r260,2140.0,2248.66,2685.81303,2251.9764,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,20
55129,execution,comp_a,3575.0,3029.8,1203,60kg,3575.0,3756.05,4486.24114,3761.5832,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,20
55129,execution,comp_a,3699.0,3134.59,2806,r260,3699.0,3885.96,4641.40977,3891.6876,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,20
55130,execution,comp_a,3043.0,2578.93,450,52kg,3043.0,3108.308,0.0,3652.62,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,execution,comp_a,3251.0,2754.94,1300,r260,3251.0,3320.4472,3129.794,3901.908,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,execution,comp_a,3361.0,2848.44,127,r260cmb,3361.0,3433.13964,3343.3996,4034.3346,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,execution,comp_a,3295.0,2792.71,350,60kg,3295.0,3365.9738,3456.87102,3955.407,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,supply,comp_a,1922.0,1628.94,650,52kg,1922.0,1963.32052,3389.2409,2307.1278,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,supply,comp_a,2368.0,2006.96,3500,r260,2368.0,2418.93372,1976.89186,2842.5258,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,supply,comp_a,2479.0,2100.46,450,r260cmb,2479.0,2531.62616,2435.65446,2974.9524,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55130,supply,comp_a,2033.0,1723.06,700,60kg,2033.0,2076.75944,2549.12588,2440.4316,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2024,2,20
55131,supervision,comp_b,1994.0,1690.0,1200,60kg,2275.0,2139.0,2286.0,1994.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,WAT,2024,2,27
55131,supply,comp_b,2037.0,1726.0,1200,r260,1875.0,2137.0,2308.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,WAT,2024,2,27
55132,supply,comp_b,1918.0,1625.0,1200,r260,1870.0,1659.0,1890.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,MAS,2024,2,28
55133,supervision,comp_b,2372.0,2010.0,800,60kg,2214.0,0.0,2172.0,2372.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2024,2,28
55134,supervision,comp_b,2211.0,1874.0,2500,r260,2064.0,0.0,2024.0,2211.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,KUR,2024,2,28
